"","Category","kf25","kf50","kf100","kfit100.sp$cluster","kfit150.sp$cluster","kfit150$cluster","kfit250$cluster","kfit250.sp$cluster"
"2472","hydraulic hose and tube fittings",25,20,35,62,64,32,210,127
"2473","satellite antennas",14,36,89,21,91,16,71,205
"2474","relay boards or multiple relay modules",5,18,80,5,94,71,54,90
"2475","anchor retrievers",14,36,89,21,91,16,71,205
"2476","sweaters",7,2,8,86,137,15,34,150
"2477","windshield wipers",14,36,89,86,137,16,71,150
"2478","hydrogen compound gases",23,12,53,21,91,20,12,205
"2479","landing gear assemblies",23,12,12,28,28,107,14,141
"2480","magnets and magnetic materials",16,4,42,47,107,114,11,49
"2481","clutches",7,2,8,35,110,15,34,165
"2482","detection apparatus for non metallic objects",16,16,42,47,66,57,224,62
"2483","handcuffs",7,2,8,35,110,15,34,165
"2484","die castings",14,36,89,21,91,16,71,205
"2485","fibreglass thread",14,36,89,86,137,16,71,150
"2486","valves",7,2,8,86,137,15,34,150
"2487","adaptors or linkers",14,36,89,35,110,16,71,165
"2488","power generation monitoring or detecting equipment",16,16,76,6,1,19,78,25
"2489","running track",14,36,89,86,137,16,71,150
"2490","certificate ribbons",14,36,89,21,91,16,71,33
"2491","bath towels",14,36,89,86,137,16,71,150
"2492","marine signalling systems",17,27,100,13,92,150,241,220
"2493","load binders",14,36,89,21,91,16,71,205
"2494","mast boots",14,36,89,86,137,16,71,99
"2495","anti seize or anti stain compounds",5,18,80,47,66,71,54,62
"2496","food service ice buckets or wine coolers",12,43,72,18,65,23,93,157
"2497","identification panels",14,36,89,83,45,16,71,205
"2498","shoulder boards or epaulettes",23,12,53,86,137,20,12,150
"2499","corrosion inhibitors",14,36,89,86,137,16,71,150
"2500","patient stretchers or stretcher accessories",4,48,55,5,94,126,242,191
"2501","optical device accessories",18,30,48,9,119,11,176,235
"2502","hydraulic truck cranes",23,12,53,41,87,20,12,136
"2503","traps and strainers",14,36,89,35,110,16,71,165
"2504","door interlocking systems",17,27,100,53,82,150,241,161
"2505","handles or knobs",14,36,89,86,137,16,71,150
"2506","undershirts",7,2,8,35,110,15,34,165
"2507","telephone ring generators",23,12,53,41,87,20,167,20
"2508","heating stoves",14,36,89,21,91,16,71,205
"2509","oil and gas drilling and exploration equipment",16,16,76,6,1,19,78,25
"2510","digital testers",14,36,89,21,91,16,62,67
"2511","battery cabinets or covers or doors",25,20,35,62,64,32,210,127
"2512","corrosion control equipment",19,6,87,20,3,17,213,11
"2513","cotton fabrics",14,36,89,60,91,16,60,205
"2514","domestic drinking glasses",23,12,53,41,87,20,58,20
"2515","tshirts",7,2,8,86,137,15,34,150
"2516","mens tshirts",14,36,89,88,73,83,71,177
"2517","mens athletic wear",23,12,53,88,73,20,12,177
"2518","floor sweepers",14,36,89,86,137,16,240,18
"2519","lace",7,2,8,35,110,15,34,165
"2520","fabricated bar stock assemblies",25,20,35,62,64,32,169,170
"2521","colorimeters",7,2,8,35,110,15,34,165
"2522","tool bags",14,36,60,21,134,89,108,82
"2523","cotton oxford cloths",23,12,53,60,91,20,12,205
"2524","notebook filler paper",23,12,78,21,129,111,126,91
"2525","picture card wallets",23,12,53,21,91,20,12,205
"2526","chains",7,2,8,86,137,15,34,150
"2527","surface mount device",23,12,53,41,87,20,12,93
"2528","nuclear tools",14,36,60,21,134,89,108,82
"2529","neutron generators",14,36,89,86,137,138,95,150
"2530","domestic flatware and cutlery",23,12,53,21,91,20,58,41
"2531","robotics",7,2,8,86,137,15,34,150
"2532","link arms",14,36,89,21,91,16,71,205
"2533","dyeing and tanning extracts",23,12,53,21,91,20,12,205
"2534","emergency dye signals",23,12,53,41,87,20,12,20
"2535","headbands",7,2,8,35,110,15,34,165
"2536","packaging machinery",14,36,63,43,59,61,202,87
"2537","mercury oxide battery",23,12,53,21,16,20,12,205
"2538","sputtering targets",14,36,89,86,137,16,71,150
"2539","workshop cranes",14,36,89,21,91,16,71,205
"2540","engine repair kit",23,12,53,41,8,59,48,231
"2541","tanks",7,2,8,86,137,103,102,150
"2542","pipeline services",10,46,54,72,58,51,109,60
"2543","motor starter controls",23,12,53,16,90,67,211,100
"2544","steel bridges",14,36,89,21,91,16,71,205
"2545","air inflators",14,36,89,21,91,133,71,205
"2546","seals",7,2,8,86,137,15,191,150
"2547","paint or varnish removers",23,12,53,21,91,20,161,205
"2548","safety chains",14,36,21,21,91,72,96,135
"2549","measurement math kits",23,12,53,41,8,59,85,231
"2550","mounting bars",14,36,89,21,91,16,71,205
"2551","toxic gas detection services",2,13,68,94,63,101,221,88
"2552","military shelter",14,36,89,21,106,74,130,4
"2553","tube adapters",14,36,89,21,91,16,71,205
"2554","particleboard",7,2,8,35,110,15,34,165
"2555","shelf brackets",14,36,89,86,137,16,71,150
"2556","engine ignition systems",17,27,100,53,82,150,111,161
"2557","urinal or toilet accessories",18,30,48,58,146,11,176,248
"2558","military personnel and discipline",23,12,53,21,106,20,12,4
"2559","vending machines",14,36,88,95,102,113,21,250
"2560","straps",7,2,8,86,137,15,34,150
"2561","elbow protectors",14,36,89,86,137,16,71,150
"2562","eating and drinking and food preparation aids for the physically challenged",5,18,80,57,14,71,54,51
"2563","hessian or hemp or jute cloth",25,20,35,68,137,32,210,242
"2564","explosive loading machinery spare parts or accessories",4,48,55,5,94,126,242,191
"2565","ear protectors or shields",23,12,53,21,91,20,12,205
"2566","target games and equipment",19,6,87,20,3,17,47,247
"2567","display board",14,36,89,21,91,16,71,205
"2568","cosmetics",7,2,8,35,110,15,34,165
"2569","personnel carriers",14,36,89,21,91,16,71,205
"2570","non edible animal products",25,20,35,62,64,98,173,184
"2571","safety slings",14,36,21,21,91,72,96,135
"2572","fresh drupe or stone fruit juice or concentrate",4,48,55,5,94,126,17,90
"2573","bedclothes",7,2,8,86,137,15,34,150
"2574","tamper parts or repair kits",25,20,35,62,64,115,203,152
"2575","exterior aircraft lighting",23,25,3,33,4,76,97,158
"2576","pressure gauge",14,36,89,86,137,16,71,150
"2577","bushings",7,2,8,86,137,15,34,150
"2578","exhaust and emission controls",23,12,53,86,137,67,211,102
"2579","vehicle interior systems",17,27,100,34,92,150,241,164
"2580","battery kits",14,36,60,44,18,64,73,17
"2581","nylon rope",14,36,89,21,91,16,71,205
"2582","safety glasses",14,36,21,21,91,72,96,135
"2583","barbed wire",14,36,89,86,137,16,71,150
"2584","tyre valves",14,36,89,21,91,16,71,205
"2585","water treatment services",1,50,31,98,141,80,119,106
"2586","operation or instruction manuals",23,12,53,79,87,20,12,239
"2587","gas masks",14,36,89,21,112,16,66,188
"2588","sound generating and measuring equipment",11,32,20,75,36,88,33,58
"2589","machined forgings",14,36,88,24,48,113,21,113
"2590","vehicle side panels",23,12,79,41,43,95,45,55
"2591","batons",7,2,8,35,110,15,34,165
"2592","motors",7,2,8,86,137,15,34,150
"2593","sprayers",7,2,8,35,110,15,34,165
"2594","specialty assembly",14,36,89,21,91,16,225,205
"2595","alcohols or its substitutes",14,36,89,21,91,16,71,205
"2596","spill kits",14,36,60,44,18,64,73,17
"2597","detonators",7,2,8,35,110,15,34,165
"2598","food and beverage dispensing equipment",11,32,20,75,36,88,159,58
"2599","refuse collection and disposal",23,12,53,41,87,37,12,20
"2600","reconnaissance or surveillance aircraft",23,25,3,33,4,59,97,158
"2601","natural resources management or conservation strategy planning services",5,18,83,29,51,40,56,80
"2602","atomic and nuclear energy machinery and equipment",16,16,76,75,36,19,78,203
"2603","truck rims or wheels",23,12,53,21,91,20,12,205
"2604","telephony equipment alarm units",11,32,20,75,36,88,33,58
"2605","lapidary machinery and equipment",19,6,73,81,75,60,166,195
"2606","military policy",14,36,89,21,106,74,130,4
"2607","watches",7,2,8,86,137,15,34,150
"2608","temperature calibrator or simulator",23,12,53,41,87,20,12,20
"2609","sheets",7,2,8,86,137,38,100,150
"2610","domestic disposable food containers",25,20,35,62,64,32,210,198
"2611","commercial sports",14,36,89,21,91,16,71,205
"2612","fresh melon juice or concentrates",25,20,35,41,87,32,210,20
"2613","material handling hoses",23,35,94,90,81,144,44,185
"2614","water purification reagents",23,12,53,64,9,54,12,39
"2615","braking systems and components",17,27,100,13,133,150,1,220
"2616","wood flooring",14,36,89,21,91,16,240,218
"2617","general shop tool storage cabinets or cabinets with tools",9,37,69,69,12,122,192,183
"2618","mining services",10,46,54,92,99,51,109,1
"2619","vehicle body repair or painting services",15,8,40,18,65,18,120,157
"2620","paint application system",17,27,100,13,92,150,241,220
"2621","fresh tropical fruits",23,12,53,21,91,20,12,205
"2622","backhoes",7,2,8,35,110,15,34,165
"2623","medical gloves and accessories",18,30,48,9,119,11,176,235
"2624","domestic wall treatments",23,12,53,41,87,20,58,20
"2625","dry dock",14,36,89,21,91,16,71,205
"2626","international trade services",1,50,36,98,149,80,164,181
"2627","gambling or wagering equipment",19,6,87,84,70,17,47,213
"2628","inorganic chemical mixtures",23,12,53,21,91,20,12,205
"2629","handkerchiefs",7,2,8,35,110,15,34,165
"2630","master jig",14,36,89,21,91,16,71,205
"2631","sandwiches and filled rolls",23,12,53,86,137,20,12,150
"2632","sheet",7,2,8,86,137,38,100,150
"2633","dry cell batteries",23,12,53,41,87,20,12,20
"2634","bottled water dispensers or accessories",25,20,92,50,113,137,177,45
"2635","utility boxes",14,36,89,21,91,78,57,205
"2636","differentials",7,2,8,35,110,15,34,165
"2637","suspensions",7,2,8,86,137,15,34,150
"2638","light trucks or sport utility vehicles",16,16,42,47,66,57,224,62
"2639","social policy services",1,50,31,98,149,80,119,106
"2640","asbestos",7,2,8,86,137,15,34,150
"2641","printing presses",14,26,70,3,140,109,183,59
"2642","alternative and holistic medicine",23,12,53,21,91,20,12,205
"2643","system usability services",1,50,99,49,120,63,90,29
"2644","wall racks",14,36,89,21,91,16,71,205
"2645","guest seating",14,36,89,86,137,16,71,150
"2646","refugee programs",14,36,58,21,143,16,146,63
"2647","educational guidance services",1,50,23,92,99,63,27,1
"2648","forensic magnifiers",14,36,89,86,137,16,71,150
"2649","political participation",14,36,89,86,137,16,71,150
"2650","shop buildings",14,34,89,21,91,16,138,233
"2651","domestic pet training kits",25,20,35,62,64,115,203,152
"2652","site preparation services",1,50,31,98,149,80,119,106
"2653","clinical nutrition",14,36,89,21,91,16,71,205
"2654","inkjet printers",14,36,89,86,137,16,71,150
"2655","industrial trucks",14,36,89,21,83,133,124,249
"2656","drafting or design teaching aids or materials",16,4,42,47,107,114,11,49
"2657","agricultural machinery for soil preparation",25,20,35,62,64,32,210,170
"2658","furniture cleaners",14,22,84,21,91,141,99,147
"2659","lighting control systems",17,27,100,13,92,150,117,220
"2660","fabrics and leather production",23,12,46,36,150,119,198,42
"2661","corporate uniforms",14,36,89,21,91,16,71,205
"2662","technical assistance non governmental services",15,8,40,18,65,18,120,157
"2663","gas liquid contacting systems",25,47,7,13,92,12,181,220
"2664","dry cleaning",14,36,89,60,91,16,71,110
"2665","commercial use dishwashers",23,38,53,21,91,54,63,205
"2666","electronic flash cards",23,12,53,41,31,20,214,105
"2667","book returns",14,36,89,86,137,16,71,150
"2668","mowers",7,2,8,35,110,15,34,165
"2669","hub adapters",14,36,89,21,91,16,71,205
"2670","mouldings",7,2,8,86,137,15,34,150
"2671","trading cards",14,36,85,21,91,3,127,205
"2672","drafting papers",14,36,77,21,129,96,32,91
"2673","employment law services",1,50,31,98,149,80,119,106
"2674","planning or layout of graphic production",25,20,35,62,64,98,173,184
"2675","compact disks cds",23,12,53,21,91,20,12,205
"2676","file storage boxes or containers",25,20,35,62,64,13,232,198
"2677","delivered meals services",1,50,31,92,99,80,119,1
"2678","passenger marine transportation",23,12,33,12,5,149,51,200
"2679","ombudsman services",10,46,54,72,58,51,109,60
"2680","cruisers",7,2,8,35,110,15,34,165
"2681","computer tool kits",22,12,6,78,8,21,85,231
"2682","hearing aids for the physically challenged",25,20,35,62,88,52,210,2
"2683","lodges or resorts",14,36,89,86,137,16,71,150
"2684","air cargo transport",23,12,33,12,5,149,51,200
"2685","libraries",7,17,64,86,137,94,4,102
"2686","wide area network communications design",16,16,42,47,66,57,15,30
"2687","broadband or narrowband digital cross connect dcx equipment",5,18,50,75,36,44,54,58
"2688","industrial cabinets or drawers or shelving",25,20,35,41,142,32,143,178
"2689","console extenders",14,36,89,86,137,16,71,150
"2690","industrial lighting or power or data components",16,16,42,47,19,145,61,212
"2691","storage cabinets",14,22,61,22,89,93,168,115
"2692","office machine accessories",18,30,48,9,103,11,176,210
"2693","certificated distance learning services",2,13,68,94,63,101,221,189
"2694","technology teaching aids and materials",25,20,2,62,34,65,67,139
"2695","office time recording machines and accessories",16,16,81,47,20,45,70,142
"2696","bar code labels",23,12,53,41,87,20,115,20
"2697","protocol analysers",14,36,89,86,137,16,71,150
"2698","storage area network san switch",16,16,42,62,64,57,15,198
"2699","coastal patrol watercraft",23,12,53,86,137,20,12,150
"2700","chilling units or cold water circulators",16,16,42,1,64,57,224,120
"2701","non metallic bins",23,12,53,26,41,20,38,205
"2702","heat exchangers",14,36,89,21,91,16,71,205
"2703","aerial photography services",1,50,31,98,149,80,119,106
"2704","water quality management",23,12,56,64,9,54,209,134
"2705","concrete spreaders",14,36,89,86,137,16,71,150
"2706","urban development control or regulations services",15,8,40,18,65,18,120,224
"2707","road pavers",14,36,89,86,137,16,71,150
"2708","stone",7,2,8,86,137,15,34,150
"2709","trees and shrubs",14,36,89,86,137,16,71,150
"2710","sculpture accessories",13,5,24,58,146,69,222,248
"2711","asphalt",7,2,8,35,110,15,34,165
"2712","replacement rubbers",14,36,89,86,137,16,71,102
"2713","market research one on one interviews",5,18,80,89,116,71,54,116
"2714","oilfield consultancy services",1,50,31,92,99,80,119,1
"2715","service recognition programs",1,50,31,92,99,80,119,1
"2716","flash memory storage devices",25,20,35,40,87,13,232,153
"2717","meeting planners",14,36,89,86,137,16,204,150
"2718","area or tour guides",23,12,53,21,91,20,12,205
"2719","seawall",7,2,8,35,110,15,34,165
"2720","roofing accessories",13,5,24,58,146,69,222,248
"2721","substation",7,2,8,35,110,15,34,165
"2722","heating equipment and parts and accessories",11,32,34,75,36,102,182,128
"2723","heating systems installation repair or maintenance",20,16,71,47,52,39,212,151
"2724","land evaluation",14,36,89,21,91,16,152,23
"2725","showcases",7,2,8,35,110,15,34,165
"2726","billboards",7,2,8,86,137,15,34,150
"2727","analytical or scientific software",23,14,51,91,126,82,205,126
"2728","transport arrangements",14,7,84,86,137,77,178,74
"2729","wheelchair accessories",13,5,24,58,146,69,222,248
"2730","hot air balloons",23,12,53,86,137,20,12,57
"2731","coating or glazing of metal or wood or concrete structural materials",5,18,80,11,40,71,150,90
"2732","multimedia projectors",14,36,89,21,91,16,71,205
"2733","plasma display panels pdp",25,20,35,83,45,32,210,205
"2734","restaurant furniture",14,22,84,21,91,141,99,147
"2735","educational advisory services",1,50,23,70,15,63,27,5
"2736","manufacturing teaching aids or materials",25,20,2,62,34,65,67,139
"2737","rubber flooring",14,36,89,21,91,16,240,218
"2738","childrens science kits",23,12,53,44,18,59,85,17
"2739","video editors",14,36,89,86,137,16,71,150
"2740","video projectors",14,36,89,21,91,16,71,205
"2741","digital cameras",14,36,89,21,91,16,62,67
"2742","televisions",7,2,8,86,137,15,34,150
"2743","customs bonded storage services",2,13,68,98,141,101,221,106
"2744","non ferrous alloy extrusion ingots",16,16,42,41,87,57,224,86
"2745","furnaces or ovens manufacture services",2,13,68,98,149,101,221,168
"2746","plumbing system construction",17,27,100,13,92,150,241,220
"2747","raw materials",14,28,77,21,129,90,82,91
"2748","electronic controls installation",23,12,53,41,31,67,211,105
"2749","cabbing accessories",13,5,24,58,146,69,222,248
"2750","water gas or producer gas",4,48,55,5,94,126,17,90
"2751","drill collars",14,36,89,21,91,16,71,205
"2752","charms",7,2,8,35,110,15,34,165
"2753","fair organisation or management services",2,13,68,94,25,30,221,68
"2754","antistatic boxes",14,36,89,21,91,78,57,205
"2755","shim",7,2,8,86,137,15,34,150
"2756","vinyl flooring",14,36,89,86,137,16,240,18
"2757","processed and synthetic rubber",23,12,17,41,87,20,35,175
"2758","holograms",7,2,8,35,110,15,34,165
"2759","precious metal billets",23,12,53,26,41,20,38,205
"2760","sales forms or sales books",4,48,55,5,94,126,17,90
"2761","gate barrier systems",17,27,100,53,82,150,241,161
"2762","electrical or power regulators",23,12,22,41,147,20,59,169
"2763","informational signs",14,36,89,21,91,16,71,205
"2764","regrind or reclaim or coating services for cutting tools",12,43,72,94,63,23,93,189
"2765","strip",7,2,8,86,137,15,34,150
"2766","plating services",10,46,54,92,99,51,109,1
"2767","stack stands",14,36,89,86,137,16,71,150
"2768","metal smelting and refining and forming processes",16,16,42,62,64,57,224,127
"2769","high vacuum equipment",19,6,87,20,3,17,47,247
"2770","enclosure plates or covers",23,12,53,21,91,20,12,218
"2771","driven plate",14,36,89,86,137,16,71,150
"2772","nu gold sheets plates",23,12,53,41,87,20,12,239
"2773","shaft collar",14,36,89,21,91,16,71,205
"2774","microwave access equipment",19,6,87,20,3,17,47,247
"2775","industrial use papers",23,38,52,41,142,27,236,178
"2776","flooring service",10,46,54,92,99,51,109,1
"2777","masonry and stonework and tile setting",25,20,35,21,91,32,210,205
"2778","concrete work",14,36,89,21,91,16,157,205
"2779","teletype equipment",14,10,86,84,70,148,200,213
"2780","clinical forensics equipment and supplies",11,32,34,23,54,102,180,226
"2781","general furniture parts and accessories",25,20,92,50,113,137,177,45
"2782","investment advisers",14,36,89,86,137,16,71,150
"2783","lubricating preparations",14,36,89,21,91,16,71,205
"2784","tent bag",14,36,89,54,137,78,36,27
"2785","ice making machines",23,12,74,41,87,66,129,219
"2786","sport mats or padding",23,12,53,41,87,20,12,20
"2787","box",7,2,8,86,137,15,227,150
"2788","step drive or stepper drive or step indexer",9,37,69,47,66,122,30,62
"2789","electrical receptacle multipliers",23,12,22,2,91,20,59,186
"2790","torso and belt restraints",23,12,53,21,91,20,12,205
"2791","gas burners",14,36,89,86,137,16,66,174
"2792","discrete semiconductor devices",23,12,53,21,91,20,12,205
"2793","refractories",7,2,8,35,110,15,34,165
"2794","machined extrusions",14,36,88,24,48,113,21,113
"2795","clubs",7,2,8,86,137,15,34,150
"2796","mining and oil and gas integrated services",15,8,40,18,65,125,120,224
"2797","airfield",7,2,8,35,110,15,34,165
"2798","runway",7,2,8,35,110,15,34,165
"2799","cafeteria services",10,46,54,72,58,51,109,60
"2800","stampings and sheet components",23,12,53,41,87,87,167,239
"2801","oil and gas restoration and reclamation services",15,8,40,94,63,125,120,88
"2802","passenger railway transportation",23,12,33,12,5,149,51,200
"2803","forgings",7,2,8,86,137,15,34,150
"2804","automotive doors",14,36,89,21,91,16,71,205
"2805","consular services",10,46,54,72,58,51,109,60
"2806","portal server software",23,14,51,91,126,82,205,126
"2807","laundering services",10,46,54,72,58,51,109,60
"2808","well drilling and construction services",2,13,68,94,63,101,221,189
"2809","banner advertising services",1,50,31,98,149,80,219,106
"2810","water resources mapping services",2,40,68,94,47,142,153,88
"2811","organo metallic compounds",23,12,53,26,41,20,38,205
"2812","oil and gas well project management services",12,43,72,67,29,23,93,61
"2813","independent living aids for the physically challenged",16,16,42,62,88,57,224,2
"2814","engraving",7,2,8,86,137,15,34,150
"2815","aircraft maintenance and repair services",8,13,13,94,7,101,89,69
"2816","winter sports equipment",19,6,87,81,75,17,47,195
"2817","office equipment rental or leasing services",15,8,40,42,76,92,220,180
"2818","monetary systems and issues",17,27,100,53,82,150,241,161
"2819","machined raw stock",23,12,74,41,87,66,129,219
"2820","job evaluation services",1,50,31,98,149,80,119,106
"2821","risk management consultation services",2,13,68,94,25,30,221,68
"2822","ecological advisory services",1,50,31,98,149,80,119,5
"2823","health programs",14,36,58,21,143,16,146,63
"2824","anti tobacco campaigns",23,12,53,21,91,20,12,205
"2825","airport control tower",23,12,53,16,90,67,211,100
"2826","oil and gas data management and processing services",12,43,72,67,29,23,93,61
"2827","oil and gas exploration services",2,13,68,94,63,101,221,88
"2828","provision of relocations services for museum exhibition",15,8,40,94,63,18,120,189
"2829","software maintenance or support",23,14,51,71,105,82,205,36
"2830","credit card service providers",2,13,68,94,63,101,221,189
"2831","platform as a service (paas - cloud)",2,13,68,98,149,101,221,106
"2832","software as a service (saas - cloud)",2,13,68,98,149,101,72,129
"2833","infrastructure as a service (iaas - cloud)",2,13,68,98,149,101,221,106
"2834","provision of hotels and lodging and meeting facilities",16,16,42,47,66,57,224,62
"2835","data services",10,46,54,92,130,112,7,138
